genre_1,genre_2,count
Animation,Comedy,555
Animation,Family,857
Comedy,Family,1191
Adventure,Family,784
Adventure,Fantasy,682
Family,Fantasy,613
Comedy,Romance,3117
Comedy,Drama,4191
Drama,Romance,4488
Action,Crime,1368
Action,Drama,2323
Action,Thriller,2370
Crime,Drama,2525
Crime,Thriller,2016
Drama,Thriller,3427
Action,Adventure,1733
Action,Family,278
Adventure,Drama,1043
Drama,Family,831
Adventure,Thriller,557
Comedy,Horror,638
Adventure,Animation,489
Drama,History,1075
Comedy,Crime,876
Adventure,Comedy,835
Adventure,Crime,241
Action,Comedy,1332
Comedy,Thriller,640
Drama,Fantasy,683
Drama,Science_Fiction,618
Fantasy,Science_Fiction,518
Fantasy,Thriller,231
Science_Fiction,Thriller,825
Adventure,Science_Fiction,608
Mystery,Science_Fiction,188
Mystery,Thriller,1495
Adventure,Romance,316
Comedy,Fantasy,731
History,Romance,188
Adventure,History,172
Family,History,19
Family,Romance,274
Drama,War,989
Action,History,249
Crime,History,60
Action,Fantasy,501
Crime,Mystery,700
Animation,Drama,214
Drama,Foreign,964
Drama,Mystery,1177
Drama,Music,629
Family,Music,140
Action,Science_Fiction,1077
Action,Horror,486
Crime,Horror,246
Horror,Thriller,1926
Action,Romance,439
Romance,Thriller,496
Horror,Science_Fiction,870
Drama,Horror,826
Horror,Romance,114
Action,Music,37
Adventure,Music,37
Comedy,Music,572
Action,War,330
History,War,342
Documentary,Drama,211
Documentary,Foreign,163
Romance,War,185
Action,Mystery,247
Mystery,Romance,194
Documentary,Music,338
Crime,Fantasy,36
Adventure,Mystery,125
Horror,Mystery,662
Family,Science_Fiction,226
Foreign,Thriller,283
Fantasy,Horror,368
Crime,Science_Fiction,78
Action,Western,366
Crime,Family,37
Crime,Romance,325
Comedy,History,78
Animation,Romance,72
Animation,Fantasy,401
Animation,Science_Fiction,290
Music,Romance,447
Comedy,Science_Fiction,556
Adventure,War,149
Romance,Science_Fiction,181
Music,Mystery,15
Comedy,Mystery,298
Comedy,TV_Movie,171
Family,TV_Movie,138
Fantasy,Mystery,134
Fantasy,Romance,326
Adventure,Western,142
Comedy,Western,155
Drama,Western,274
Crime,Music,39
Romance,Western,112
Comedy,Foreign,392
Foreign,Mystery,63
Foreign,Romance,344
History,Western,39
Comedy,War,117
Documentary,History,183
Drama,TV_Movie,388
Romance,TV_Movie,137
History,Mystery,20
Animation,Music,67
Fantasy,Music,76
Adventure,Documentary,48
Mystery,War,18
Thriller,War,124
Fantasy,Western,9
Action,Animation,332
War,Western,32
Music,Thriller,24
History,Thriller,91
Action,Foreign,356
Documentary,Family,50
Family,Western,22
Crime,Documentary,54
Documentary,Mystery,16
History,Music,28
Crime,Western,37
Adventure,Horror,153
Documentary,Romance,28
Documentary,Thriller,26
Crime,TV_Movie,67
Family,Thriller,41
Family,Mystery,50
Foreign,Music,31
Foreign,History,41
Animation,Crime,27
Science_Fiction,War,25
Horror,Music,28
Documentary,War,79
Horror,Western,22
Science_Fiction,Western,16
Thriller,Western,43
Documentary,TV_Movie,45
History,TV_Movie,35
TV_Movie,War,18
Music,Science_Fiction,26
Comedy,Documentary,156
Animation,Thriller,53
Music,War,11
Family,War,10
Music,TV_Movie,35
Adventure,Foreign,60
Foreign,Science_Fiction,73
Animation,Mystery,49
Family,Foreign,46
Foreign,Horror,143
Horror,War,18
Animation,Horror,59
Family,Horror,25
Mystery,Western,10
Fantasy,Foreign,44
Foreign,War,29
Crime,War,15
Music,Western,21
History,Horror,16
Animation,Western,7
Crime,Foreign,117
Fantasy,History,11
Animation,War,17
Documentary,Horror,28
Action,Documentary,35
Animation,Foreign,26
Animation,TV_Movie,23
Action,TV_Movie,76
TV_Movie,Thriller,103
TV_Movie,Western,21
Horror,TV_Movie,60
Science_Fiction,TV_Movie,68
Fantasy,TV_Movie,58
Adventure,TV_Movie,51
Foreign,Western,7
Documentary,Science_Fiction,20
Mystery,TV_Movie,63
Documentary,Fantasy,8
Fantasy,War,16
Animation,History,14
Animation,Documentary,28
Documentary,Western,4
Foreign,TV_Movie,2
History,Science_Fiction,4
