,Comedy,Fantasy,Drama,Romance,Family,Animation,Action,Documentary,Horror,Science_Fiction,History,War,Adventure,Western,Thriller,Music,Crime,Mystery,Foreign,TV_Movie
1890s,0.18,0.55,0.62,0.0,0.0,0.0,0.18,0.0,0.07,0.19,0.0,0.0,,,,,,,,
1900s,0.39,0.18,0.07,0.0,0.04,0.02,0.23,0.0,0.04,0.04,0.01,,0.36,0.0,0.0,0.02,0.02,,,
1910s,0.18,0.22,0.04,0.09,0.0,0.06,0.09,,0.01,0.13,0.0,0.2,0.0,0.04,,,0.07,0.1,,
1920s,0.2,0.14,0.01,0.08,0.02,0.2,0.14,0.04,0.02,0.11,0.03,0.0,0.11,0.0,0.05,0.0,0.02,0.05,,
1930s,0.0,0.02,0.0,0.0,0.23,0.23,0.0,0.01,0.01,0.27,0.11,0.06,0.0,0.0,0.29,0.22,0.01,0.01,,
1940s,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.17,0.52,0.09,0.06,0.34,0.0,0.08,0.01,0.12,0.01,0.02,,
1950s,0.0,0.03,0.02,0.0,0.0,0.17,0.0,0.32,0.04,0.21,0.08,0.14,0.0,0.16,0.06,0.05,0.03,0.17,0.05,
1960s,0.0,0.04,0.0,0.0,0.11,0.17,0.0,0.11,0.03,0.0,0.0,0.32,0.0,0.05,0.0,0.08,0.0,0.04,0.0,0.35
1970s,0.0,0.06,0.0,0.0,0.1,0.19,0.0,0.36,0.0,0.1,0.01,0.04,0.0,0.07,0.04,0.02,0.01,0.04,0.17,0.1
1980s,0.0,0.07,0.0,0.03,0.0,0.01,0.0,0.21,0.05,0.02,0.15,0.15,0.0,0.21,0.02,0.22,0.02,0.26,0.0,0.08
1990s,0.0,0.11,0.0,0.0,0.0,0.29,0.0,0.47,0.03,0.0,0.29,0.11,0.0,0.04,0.0,0.01,0.0,0.02,0.0,0.07
2000s,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0.06,0.0,0.0,0.0,0.28,0.0,0.69,0.0,0.25,0.0,0.0,0.0,0.0
2010s,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.2,0.27,0.0,0.39,0.0,0.2,0.0,0.08,0.16,0.03
2020s,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,
